2-theta,Experimental XRD,Fit,Difference,Background
1.65600E+1,5.85000E+2,5.59155E+2,2.58452E+1,5.41118E+2
1.65800E+1,5.73000E+2,5.61076E+2,1.19236E+1,5.40225E+2
1.66000E+1,5.40000E+2,5.63706E+2,-2.37056E+1,5.39334E+2
1.66200E+1,5.64000E+2,5.67297E+2,-3.29724E+0,5.38443E+2
1.66400E+1,5.83000E+2,5.72243E+2,1.07565E+1,5.37554E+2
1.66600E+1,5.89000E+2,5.79218E+2,9.78198E+0,5.36667E+2
1.66800E+1,6.22000E+2,5.89605E+2,3.23950E+1,5.35780E+2
1.67000E+1,6.28000E+2,6.06642E+2,2.13583E+1,5.34896E+2
1.67200E+1,6.52000E+2,6.37656E+2,1.43441E+1,5.34012E+2
1.67400E+1,6.49000E+2,6.96461E+2,-4.74611E+1,5.33130E+2
1.67600E+1,8.27000E+2,8.02076E+2,2.49242E+1,5.32249E+2
1.67800E+1,9.50000E+2,9.68877E+2,-1.88768E+1,5.31370E+2
1.68000E+1,1.13800E+3,1.18450E+3,-4.64978E+1,5.30492E+2
1.68200E+1,1.35400E+3,1.37381E+3,-1.98077E+1,5.29616E+2
1.68400E+1,1.26400E+3,1.31218E+3,-4.81808E+1,5.28740E+2
1.68600E+1,1.12900E+3,1.05052E+3,7.84813E+1,5.27867E+2
1.68800E+1,8.64000E+2,8.68672E+2,-4.67230E+0,5.26994E+2
1.69000E+1,7.10000E+2,6.67013E+2,4.29874E+1,5.26123E+2
1.69200E+1,6.16000E+2,5.78856E+2,3.71437E+1,5.25254E+2
1.69400E+1,5.81000E+2,5.53371E+2,2.76293E+1,5.24386E+2
1.69600E+1,5.68000E+2,5.42977E+2,2.50229E+1,5.23519E+2
1.69800E+1,5.31000E+2,5.36752E+2,-5.75238E+0,5.22653E+2
1.70000E+1,5.28000E+2,5.32487E+2,-4.48730E+0,5.21789E+2
1.70200E+1,5.19000E+2,5.29327E+2,-1.03268E+1,5.20926E+2
1.70400E+1,5.26000E+2,5.26839E+2,-8.39111E-1,5.20065E+2
1.70600E+1,5.36000E+2,5.24785E+2,1.12148E+1,5.19205E+2
1.70800E+1,5.25000E+2,5.23023E+2,1.97662E+0,5.18346E+2
1.71000E+1,5.40000E+2,5.21466E+2,1.85337E+1,5.17489E+2
1.71200E+1,5.64000E+2,5.20057E+2,4.39429E+1,5.16633E+2
